Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
kge_1	GO:0019221	cytokine-mediated signaling pathway	21/219	450/28891	4.17986232122642e-11	2.17330568049895e-08	1.38724469079584e-08	Jak3/Gfi1/Irf5/Angpt1/Sigirr/Egr1/Notch1/Il21r/Ifitm1/Fkbp1a/Oasl2/Mpl/Spi1/Klf6/Il15/Ebi3/Irf1/Stap1/Nfkbia/Stat3/Krt18	21	kge
kge_1	GO:0045637	regulation of myeloid cell differentiation	16/219	237/28891	4.42242434985252e-11	2.17330568049895e-08	1.38724469079584e-08	Prdm16/Fos/Zfp36/Gata2/Jun/Hcls1/Id2/Meis1/Gpr171/Mpl/Ets1/Hoxa9/Spi1/Mef2c/Nfkbia/Stat3	16	kge
kge_1	GO:0002274	myeloid leukocyte activation	17/219	280/28891	5.71527286058947e-11	2.45756733005347e-08	1.56869199831443e-08	Tlr4/Plcg2/Lcp2/Anxa1/Rora/Slc18a2/Gimap5/Gata2/Jun/Cd1d1/Relb/Batf2/Cd84/Ctsc/Spi1/Il15/Stap1	17	kge
kge_1	GO:0030217	T cell differentiation	18/219	339/28891	1.37444731232975e-10	5.25344306046038e-08	3.35332993394136e-08	Jak3/Satb1/Gimap1/Smarca2/Cbfb/Anxa1/Rora/Gimap5/Egr1/Cd1d1/Relb/Rorc/Ctla2a/Runx2/Spi1/Il15/Irf1/Stat3	18	kge
kge_1	GO:0046631	alpha-beta T cell activation	15/219	221/28891	1.68808031494884e-10	5.80699628342402e-08	3.70666898629819e-08	Jak3/Satb1/Elf4/Gimap1/Cbfb/Anxa1/Rora/Gimap5/Cd1d1/Rasal3/Relb/Rorc/Il15/Irf1/Stat3	15	kge
kge_2	GO:0000280	nuclear division	27/130	450/28891	9.9232122591949e-23	2.06799743481622e-19	1.68590153540427e-19	Top2a/Nfia/Incenp/Ccnb2/Bub1b/Cdc20/Mki67/Tpx2/Spc25/Spire1/Birc5/Xrcc3/Rad51ap1/Ube2c/Cdca8/Sphk1/Mad2l1/Fignl1/Aurkb/Cenpk/Ccne1/Smc2/Kif22/Spc24/Aurka/Rad51/Ccnb1	27	kge
kge_2	GO:0098813	nuclear chromosome segregation	23/130	312/28891	1.87082445716907e-21	1.94939908437018e-18	1.58921614414257e-18	Top2a/Incenp/Ccnb2/Bub1b/Cdc20/Tpx2/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Ccne1/Cdc6/Smc2/Kif22/Spc24/Aurka/Ccnb1	23	kge
kge_2	GO:0000819	sister chromatid segregation	20/130	218/28891	1.19316151191335e-20	8.28849530275807e-18	6.75706203588824e-18	Top2a/Incenp/Bub1b/Cdc20/Tpx2/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Cdc6/Smc2/Kif22/Spc24/Ccnb1	20	kge
kge_2	GO:0051983	regulation of chromosome segregation	17/130	132/28891	3.00194226468637e-20	1.5640119199016e-17	1.27503547768521e-17	Incenp/Bub1b/Cdc20/Mki67/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cdc6/Smc2/Spc24/Ccnb1	17	kge
kge_2	GO:0007059	chromosome segregation	24/130	416/28891	7.32190364879293e-20	3.05176944081689e-17	2.48790578718985e-17	Top2a/Incenp/Ccnb2/Bub1b/Cdc20/Mki67/Tpx2/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Ccne1/Cdc6/Smc2/Kif22/Spc24/Aurka/Ccnb1	24	kge
kge_2	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	15/130	95/28891	2.22593116250586e-19	7.73140090443702e-17	6.30289981804291e-17	Incenp/Bub1b/Cdc20/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cdc6/Spc24/Ccnb1	15	kge
kge_2	GO:0044784	metaphase/anaphase transition of cell cycle	15/130	98/28891	3.6435374490684e-19	1.08473314912265e-16	8.84311194405472e-17	Incenp/Bub1b/Cdc20/Spc25/Tacc3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cdc6/Spc24/Ccnb1	15	kge
kge_2	GO:0140014	mitotic nuclear division	20/130	267/28891	6.8153223288598e-19	1.77539146666798e-16	1.4473592419447e-16	Nfia/Incenp/Bub1b/Cdc20/Mki67/Tpx2/Spc25/Birc5/Xrcc3/Ube2c/Cdca8/Sphk1/Mad2l1/Aurkb/Cenpk/Smc2/Kif22/Spc24/Aurka/Ccnb1	20	kge
kge_2	GO:0051304	chromosome separation	14/130	85/28891	1.97074854752914e-18	4.10703997305072e-16	3.34819805864424e-16	Top2a/Incenp/Bub1b/Cdc20/Spc25/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Smc2/Spc24/Ccnb1	14	kge
kge_2	GO:0030071	regulation of mitotic metaphase/anaphase transition	14/130	90/28891	4.60083169469614e-18	8.71648477431524e-16	7.1059735456838e-16	Incenp/Bub1b/Cdc20/Spc25/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cdc6/Spc24/Ccnb1	14	kge
kge_3	GO:0000727	double-strand break repair via break-induced replication	4/23	12/28891	1.50389049742348e-10	1.84226585934376e-07	8.48510849072616e-08	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0006268	DNA unwinding involved in DNA replication	4/23	20/28891	1.46580435064199e-09	8.97805164768219e-07	4.13511122075846e-07	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0006270	DNA replication initiation	4/23	33/28891	1.22954902772459e-08	5.0206585298754e-06	2.31241501354519e-06	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0033260	nuclear DNA replication	4/23	37/28891	1.98032128744298e-08	6.06473394279414e-06	2.79329528965642e-06	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0033044	regulation of chromosome organization	6/23	244/28891	3.05424391545059e-08	6.83414007185948e-06	3.14766838110993e-06	Mapk1/Bub3/Rnf4/Mcm2/Myc/Ruvbl2	6	kge
kge_3	GO:0032508	DNA duplex unwinding	4/23	46/28891	4.86987932477923e-08	8.52228881836366e-06	3.9251959670401e-06	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0006260	DNA replication	6/23	276/28891	6.3403285562288e-08	9.70862810172535e-06	4.4716001396561e-06	Mcm7/Mcm6/Mcm2/Mcm3/Tipin/Ruvbl2	6	kge
kge_3	GO:0032392	DNA geometric change	4/23	53/28891	8.70653918418936e-08	1.17422760333911e-05	5.40825774771011e-06	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_3	GO:0006302	double-strand break repair	6/23	296/28891	9.58553145582948e-08	1.17422760333911e-05	5.40825774771011e-06	Dek/Mcm7/Mcm6/Mcm2/Mcm3/Ruvbl2	6	kge
kge_3	GO:0071103	DNA conformation change	4/23	61/28891	1.5451048508499e-07	1.57729453524261e-05	7.26470350925919e-06	Mcm7/Mcm6/Mcm2/Mcm3	4	kge
kge_random_0	GO:0030099	myeloid cell differentiation	30/309	480/28891	1.03727558226076e-14	3.83999420552934e-11	2.74605062040612e-11	Epas1/Fech/Batf2/Il15/Mpl/Tlr4/Stap1/Jun/Slc11a2/Gfi1b/Cul4a/Id2/Myc/Gimap5/Meis1/Prdm16/Nfkbia/G6pdx/Chuk/Rb1/Klf1/Casp3/Hoxa9/Ikzf1/Hcls1/Nfatc1/Gpr171/Tfrc/Pml/Gata2	30	kge_random
kge_random_0	GO:0044772	mitotic cell cycle phase transition	27/309	454/28891	7.6496304009324e-13	1.41594658721259e-09	1.01256949780763e-09	Tacc3/Rcc1/Nfia/Bid/Tcf19/Cdc20/Ccnb2/Cul4a/Usp37/Id2/Myc/Phf10/Anxa1/Ccnb1/Bub3/Rb1/Aurkb/Mad2l1/Xrcc3/Nfatc1/Rrm2/Bub1b/Spc24/Smarca2/Spc25/Pml/Xpc	27	kge_random
kge_random_0	GO:0048872	homeostasis of number of cells	24/309	401/28891	1.31976502861826e-11	1.62859004531493e-08	1.16463475332453e-08	Epas1/Fech/Glis2/Mpl/Slc40a1/Lpcat3/Spns2/Slc11a2/Ccnb2/Mecom/Gfi1b/Id2/Gimap5/G6pdx/Anxa1/Rb1/Klf1/Casp3/Ikzf1/Hcls1/Tnfrsf13b/Myct1/Smarca2/Gata2	24	kge_random
kge_random_0	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	13/309	95/28891	2.96523362077835e-11	2.74432371603036e-08	1.96251646217304e-08	Tacc3/Cdc20/Phf10/Ccnb1/Bub3/Rb1/Aurkb/Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25	13	kge_random
kge_random_0	GO:0044784	metaphase/anaphase transition of cell cycle	13/309	98/28891	4.43723026639882e-11	3.28532528924169e-08	2.34939665684064e-08	Tacc3/Cdc20/Phf10/Ccnb1/Bub3/Rb1/Aurkb/Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25	13	kge_random
kge_random_0	GO:0007059	chromosome segregation	23/309	416/28891	1.71976186499607e-10	7.38438825364474e-08	5.28071212087819e-08	Tacc3/Rcc1/Spo11/Tubgcp3/Cdc20/Ccnb2/Aurka/Tubgcp2/Phf10/Ccnb1/Mau2/Bub3/Rb1/Dcaf13/Aurkb/Mad2l1/Xrcc3/Rnf4/Bub1b/Spc24/Smarca2/Spc25/Haus2	23	kge_random
kge_random_0	GO:0033044	regulation of chromosome organization	18/309	244/28891	1.79523215242579e-10	7.38438825364474e-08	5.28071212087819e-08	Tacc3/Mcm2/Cdc20/Xrcc5/Myc/Phf10/Ccnb1/Bub3/Rb1/Aurkb/Mad2l1/Xrcc3/Rnf4/Bub1b/Spc24/Smarca2/Spc25/Pml	18	kge_random
kge_random_0	GO:1903706	regulation of hemopoiesis	24/309	452/28891	1.55291382482438e-10	7.38438825364474e-08	5.28071212087819e-08	Il15/Mpl/Jun/Cd1d1/Zfp35/Gfi1b/Cul4a/Id2/Myc/Gimap5/Meis1/Prdm16/Nfkbia/Phf10/Anxa1/Xrcc6/Rb1/Hoxa9/Ikzf1/Hcls1/Gpr171/Tmem176b/Smarca2/Gata2	24	kge_random
kge_random_0	GO:0030071	regulation of mitotic metaphase/anaphase transition	12/309	90/28891	2.35621565360098e-10	8.72271034963082e-08	6.23777091453311e-08	Cdc20/Phf10/Ccnb1/Bub3/Rb1/Aurkb/Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25	12	kge_random
kge_random_0	GO:0031577	spindle checkpoint signaling	10/309	54/28891	2.67410951391363e-10	8.99959401864387e-08	6.43577552870123e-08	Cdc20/Aurka/Ccnb1/Bub3/Aurkb/Mad2l1/Xrcc3/Bub1b/Spc24/Spc25	10	kge_random
kge_random_1	GO:0006270	DNA replication initiation	7/218	33/28891	4.57309140440853e-09	1.372384730463e-05	1.11102052224999e-05	Cdc6/Ccne1/Mcm3/Prim1/Orc5/Prim2/Mcm7	7	kge_random
kge_random_1	GO:0043367	CD4-positive, alpha-beta T cell differentiation	9/218	99/28891	6.46327369255008e-08	9.6981421756714e-05	7.85117667495031e-05	Rorc/Rora/Myb/Jak3/Cbfb/Stat3/Relb/Irf1/Gimap1	9	kge_random
kge_random_1	GO:0046631	alpha-beta T cell activation	12/218	221/28891	1.32073195765518e-07	0.000132117220164107	0.00010695611783397	Rorc/Elf4/Rora/Myb/Jak3/Hsph1/Cbfb/Stat3/Relb/Rasal3/Irf1/Gimap1	12	kge_random
kge_random_1	GO:0030098	lymphocyte differentiation	17/218	486/28891	1.9814896969039e-07	0.000148661264510215	0.000120349426854058	Bmi1/Rorc/Rora/Myb/Jak3/Pglyrp2/Hdac9/Spi1/Pbx1/Cbfb/Mfng/Stat3/Hdac7/Ahr/Relb/Irf1/Gimap1	17	kge_random
kge_random_1	GO:0035710	CD4-positive, alpha-beta T cell activation	9/218	131/28891	7.16766006365424e-07	0.000430202957020528	0.000348272830040295	Rorc/Rora/Myb/Jak3/Cbfb/Stat3/Relb/Irf1/Gimap1	9	kge_random
kge_random_1	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	7/218	75/28891	1.62456862705916e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Stat3/Relb/Irf1	7	kge_random
kge_random_1	GO:0042093	T-helper cell differentiation	7/218	74/28891	1.48236939260557e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Stat3/Relb/Irf1	7	kge_random
kge_random_1	GO:0002287	alpha-beta T cell activation involved in immune response	7/218	77/28891	1.94336540085178e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Stat3/Relb/Irf1	7	kge_random
kge_random_1	GO:0046632	alpha-beta T cell differentiation	9/218	138/28891	1.11020755423798e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Cbfb/Stat3/Relb/Irf1/Gimap1	9	kge_random
kge_random_1	GO:0002293	alpha-beta T cell differentiation involved in immune response	7/218	76/28891	1.77800124230103e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Stat3/Relb/Irf1	7	kge_random
kge_random_1	GO:0002285	lymphocyte activation involved in immune response	11/218	227/28891	1.36502470864588e-06	0.000448618428304321	0.000363181161551894	Rorc/Rora/Myb/Jak3/Pglyrp2/Spi1/Psen2/Mfng/Stat3/Relb/Irf1	11	kge_random
kge_random_1	GO:0000280	nuclear division	15/218	450/28891	1.91499858501478e-06	0.000448618428304321	0.000363181161551894	Birc5/Ccne1/Rad51/Chmp7/Tpx2/Phb2/Sphk1/Esr1/Fzr1/Smc2/Klhl22/Kif22/Nde1/Mki67/Top2a	15	kge_random
mae_0	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	22/236	451/28891	2.60730850154711e-11	6.91979676310604e-08	6.02425490620622e-08	Fbxw5/Dcaf11/Pml/Yod1/Cul4a/Psen2/Nfe2l2/Topors/Gclc/Rnf19a/Psmf1/Ercc8/Stt3b/Pja2/Ube2g2/Ubxn2b/Klhl22/Rmnd5b/Fzr1/Dcaf13/Fem1b/Mapk9	22	mae
mae_0	GO:0034470	ncRNA processing	17/236	413/28891	6.1527629685011e-08	8.16471645920096e-05	7.10806037676837e-05	Wdr6/Alkbh8/Ftsj3/Isg20/Bysl/Elp3/Pwp1/Wdr75/Elac2/Elp2/Rexo4/Wdr55/Wdr4/Ftsj1/Dus1l/Dcaf13/Thumpd3	17	mae
mae_0	GO:0006399	tRNA metabolic process	11/236	181/28891	3.17865850382957e-07	0.000281205322305456	0.00024481247073354	Wdr6/Alkbh8/Iars2/Elp3/Hars2/Elac2/Elp2/Wdr4/Ftsj1/Dus1l/Thumpd3	11	mae
mae_0	GO:0006400	tRNA modification	8/236	86/28891	5.39917299251826e-07	0.000358235128053586	0.000311873282067831	Wdr6/Alkbh8/Elp3/Elp2/Wdr4/Ftsj1/Dus1l/Thumpd3	8	mae
mae_0	GO:0008033	tRNA processing	9/236	124/28891	8.73257134455197e-07	0.000463524886968819	0.000403536717921928	Wdr6/Alkbh8/Elp3/Elac2/Elp2/Wdr4/Ftsj1/Dus1l/Thumpd3	9	mae
mae_1	GO:0006261	DNA-templated DNA replication	23/226	152/28891	4.75030838275431e-23	1.35811316662946e-19	1.11107212910317e-19	Cdt1/Mcm7/Mcm6/Pold1/Rfc4/Mcm2/Mcm3/Orc6/Ccne1/Wdhd1/Mcm5/Cdc6/Lig1/Prim2/Tipin/Prim1/Mcm4/Rad51/Cdc7/Rrm1/Cdc45/E2f8/Tk1	23	mae
mae_1	GO:0007059	chromosome segregation	31/226	416/28891	2.75012209271663e-21	1.96564976576921e-18	1.60809770789904e-18	Top2a/Incenp/Ccnb2/Bub1b/Cdc20/Mki67/Tpx2/Nde1/Cdt1/Spc25/Tacc3/Bub3/Phf10/Mis12/Birc5/Xrcc3/Rnf4/Tubgcp2/Tubgcp3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Ccne1/Cdc6/Smc2/Kif22/Spc24/Aurka/Ccnb1	31	mae
mae_1	GO:0000280	nuclear division	32/226	450/28891	2.46633300827921e-21	1.96564976576921e-18	1.60809770789904e-18	Top2a/Nfia/Incenp/Ccnb2/Bub1b/Cdc20/Mki67/Tpx2/Nde1/Cdt1/Spc25/Bub3/Spire1/Phb2/Mis12/Birc5/Xrcc3/Rad51ap1/Ube2c/Cdca8/Sphk1/Mad2l1/Fignl1/Aurkb/Cenpk/Ccne1/Smc2/Kif22/Spc24/Aurka/Rad51/Ccnb1	32	mae
mae_1	GO:0140014	mitotic nuclear division	25/226	267/28891	1.00028703882901e-19	5.71964128802427e-17	4.67923747426959e-17	Nfia/Incenp/Bub1b/Cdc20/Mki67/Tpx2/Nde1/Cdt1/Spc25/Bub3/Phb2/Mis12/Birc5/Xrcc3/Ube2c/Cdca8/Sphk1/Mad2l1/Aurkb/Cenpk/Smc2/Kif22/Spc24/Aurka/Ccnb1	25	mae
mae_1	GO:0006270	DNA replication initiation	13/226	33/28891	1.4471898590255e-19	6.89585967825653e-17	5.64150152062223e-17	Cdt1/Mcm7/Mcm6/Mcm2/Mcm3/Orc6/Ccne1/Mcm5/Cdc6/Prim2/Prim1/Mcm4/Cdc45	13	mae
mae_1	GO:0033044	regulation of chromosome organization	24/226	244/28891	1.76166702126471e-19	7.19515144827971e-17	5.88635206203035e-17	Top2a/Incenp/Bub1b/Cdc20/Spc25/Tacc3/Mapk1/Bub3/Phf10/Birc5/Xrcc3/Rnf4/Ube2c/Cdca8/Mad2l1/Mcm2/Aurkb/Wdhd1/Cdc6/Smc2/Myc/Ruvbl2/Spc24/Ccnb1	24	mae
mae_1	GO:0000819	sister chromatid segregation	23/226	218/28891	2.10604655340971e-19	7.52648387024795e-17	6.15741505483733e-17	Top2a/Incenp/Bub1b/Cdc20/Tpx2/Cdt1/Spc25/Tacc3/Bub3/Phf10/Mis12/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Cdc6/Smc2/Kif22/Spc24/Ccnb1	23	mae
mae_1	GO:0098813	nuclear chromosome segregation	26/226	312/28891	3.35150361815922e-19	1.06466098270191e-16	8.70998951994127e-17	Top2a/Incenp/Ccnb2/Bub1b/Cdc20/Tpx2/Cdt1/Spc25/Tacc3/Bub3/Phf10/Mis12/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cenpk/Ccne1/Cdc6/Smc2/Kif22/Spc24/Aurka/Ccnb1	26	mae
mae_1	GO:0044786	cell cycle DNA replication	13/226	42/28891	6.05680485330466e-18	1.7316405075598e-15	1.41665477726768e-15	Cdt1/Mcm7/Mcm6/Mcm2/Mcm3/Mcm5/Lig1/Mcm4/Rad51/Cdc7/Cdc45/E2f8/Tk1	13	mae
mae_1	GO:0051983	regulation of chromosome segregation	18/226	132/28891	1.89698543058741e-17	4.93043758731764e-15	4.03359007345955e-15	Incenp/Bub1b/Cdc20/Mki67/Spc25/Tacc3/Bub3/Phf10/Birc5/Xrcc3/Ube2c/Cdca8/Mad2l1/Aurkb/Cdc6/Smc2/Spc24/Ccnb1	18	mae
mae_2	GO:1903706	regulation of hemopoiesis	27/173	452/28891	2.89771558642763e-19	8.57434042023936e-16	6.09130318536419e-16	Jak3/Prdm16/Smarca2/Cbfb/Anxa1/Fos/Zfp36/Gimap5/Tmem176a/Gata2/Jun/Hcls1/Cd1d1/Pglyrp2/Id2/Meis1/Ctla2a/Gpr171/Tmem176b/Mpl/Hoxa9/Spi1/Mef2c/Il15/Irf1/Nfkbia/Stat3	27	mae
mae_2	GO:1902105	regulation of leukocyte differentiation	19/173	363/28891	8.10952109425126e-13	1.19980364589447e-09	8.52353348695777e-10	Jak3/Prdm16/Smarca2/Cbfb/Anxa1/Fos/Gimap5/Tmem176a/Gata2/Jun/Hcls1/Cd1d1/Pglyrp2/Id2/Ctla2a/Tmem176b/Spi1/Il15/Irf1	19	mae
mae_2	GO:0030098	lymphocyte differentiation	21/173	486/28891	1.88264984971067e-12	1.85692030176463e-09	1.31917605258674e-09	Jak3/Gimap1/Smarca2/Plcg2/Cbfb/Anxa1/Gimap5/Egr1/Mfng/Cd1d1/Pglyrp2/Id2/Nfatc1/Ctla2a/Igkc/Runx2/Spi1/Il15/Irf1/Pbx1/Stat3	21	mae
mae_2	GO:0019221	cytokine-mediated signaling pathway	20/173	450/28891	3.9397767511163e-12	2.91444985163829e-09	2.07045636104717e-09	Jak3/Gfi1/Irf5/Angpt1/Sigirr/Egr1/Il21r/Ifitm1/Fkbp1a/Oasl2/Mpl/Spi1/Klf6/Il15/Ebi3/Irf1/Stap1/Nfkbia/Stat3/Krt18	20	mae
mae_2	GO:0050866	negative regulation of cell activation	15/173	225/28891	7.56862530390089e-12	4.47911245484855e-09	3.18200941724002e-09	Jak3/Tbc1d10c/Cbfb/Anxa1/Gimap5/Apoe/Cd9/Pglyrp2/Id2/Cd84/Rassf5/Emilin1/Spi1/Tnfrsf13b/Irf1	15	mae
mae_2	GO:0030099	myeloid cell differentiation	20/173	480/28891	1.26275128099542e-11	6.22746840077575e-09	4.42406018973308e-09	Prdm16/Cbfb/Fos/Zfp36/Gimap5/Gata2/Jun/Hcls1/Id2/Meis1/Nfatc1/Gpr171/Mpl/Hoxa9/Spi1/Mef2c/Il15/Stap1/Nfkbia/Stat3	20	mae
mae_2	GO:0045637	regulation of myeloid cell differentiation	15/173	237/28891	1.58983316088055e-11	6.72045189006507e-09	4.77428093575708e-09	Prdm16/Fos/Zfp36/Gata2/Jun/Hcls1/Id2/Meis1/Gpr171/Mpl/Hoxa9/Spi1/Mef2c/Nfkbia/Stat3	15	mae
mae_2	GO:0048872	homeostasis of number of cells	17/173	401/28891	3.63383408231202e-10	1.34406438119516e-07	9.5483771873383e-08	Jak3/Myct1/Smarca2/Anxa1/Zfp36/Mecom/Gimap5/Spns2/Gata2/Hcls1/Id2/Tsc22d3/Mpl/Spi1/Tnfrsf13b/Mef2c/Stat3	17	mae
mae_2	GO:1902106	negative regulation of leukocyte differentiation	10/173	123/28891	3.82207815540656e-09	1.25661436242756e-06	8.92712289631217e-07	Jak3/Prdm16/Cbfb/Anxa1/Tmem176a/Gata2/Pglyrp2/Id2/Tmem176b/Irf1	10	mae
mae_2	GO:0002695	negative regulation of leukocyte activation	12/173	206/28891	4.66106239969308e-09	1.37920836406918e-06	9.7980438023022e-07	Jak3/Tbc1d10c/Cbfb/Anxa1/Gimap5/Pglyrp2/Id2/Cd84/Rassf5/Spi1/Tnfrsf13b/Irf1	12	mae
